Wilson Coefficient,LL,UL
\cW,-0.094,0.092
\cHqqq,-0.18,0.15
\cHq,-0.25,0.25
\cHu,-0.45,0.44
\cHd,-0.56,0.56
\cHW,-1.23,1.17
\cHWB,-3.9,3.8
\cHB,-8.1,8.2
\cHlll,-3.5,14
\cll,-29,6.9
\cHbox,-60,53
\cHDD,-100,62
