process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHq1_at_1,yield_cHq1_at_0p3,cHq1_95CL_LL,cHq1_95CL_UL,yield_cHq1_95CL_LL,yield_cHq1_95CL_UL,comb_cHq1_95CL_LL,comb_cHq1_95CL_UL,comb_yield_cHq1_95CL_LL,comb_yield_cHq1_95CL_UL,all_comb_cHq1_95CL_LL,all_comb_cHq1_95CL_UL,all_comb_yield_cHq1_95CL_LL,all_comb_yield_cHq1_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHq1,sm_lin_quad_cHq1,quad_cHq1,lin_cHq1,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,74.85276384446392,-0.7968209492600716,0.7903389594772907,310.85481125239176,310.85471083836495,-0.3260910673192584,0.32429036004551054,80.24019048407405,81.57618018771758,-0.25067068045386287,0.24754453696439563,80.24019048407405,81.57618018771758,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,438.81706156743195,2.8443444431061877,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,11.839676260399033,-0.5455231295468806,0.542750706525021,35.259811209172526,35.25983158399845,-0.3260910673192584,0.32429036004551054,13.505547541636053,13.577672303159117,-0.25067068045386287,0.24754453696439563,13.505547541636053,13.577672303159117,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,114.104741590892,0.31636533463987315,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,61.01418850703535,5.8339542413960785,-0.4851760833970585,0.4834889826885074,14.558778872948013,14.558762529203515,-0.3260910673192584,0.32429036004551054,6.7592527870880215,6.754767251339486,-0.25067068045386287,0.24754453696439563,6.7592527870880215,6.754767251339486,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,61.01418850703535,60.559041357406514,0.10215232914192007,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,59.33890025020323,5.471084959735771,-0.373583054171964,0.3722114718936162,8.347329727624583,8.34734023054174,-0.3260910673192584,0.32429036004551054,6.386256838086232,6.36976227656871,-0.25067068045386287,0.24754453696439563,6.386256838086232,6.36976227656871,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,59.33890025020323,59.13300152593087,0.08111985981480808,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,74.85276384446392,-0.7968209492600716,0.7903389594772907,310.85481125239176,310.85471083836495,-0.3260910673192584,0.32429036004551054,80.24019048407405,81.57618018771758,-0.25067068045386287,0.24754453696439563,80.24019048407405,81.57618018771758,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,438.81706156743195,2.8443444431061877,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,11.839676260399033,-0.5455231295468806,0.542750706525021,35.259811209172526,35.25983158399845,-0.3260910673192584,0.32429036004551054,13.505547541636053,13.577672303159117,-0.25067068045386287,0.24754453696439563,13.505547541636053,13.577672303159117,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,114.104741590892,0.31636533463987315,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,61.01418850703535,5.8339542413960785,-0.4851760833970585,0.4834889826885074,14.558778872948013,14.558762529203515,-0.3260910673192584,0.32429036004551054,6.7592527870880215,6.754767251339486,-0.25067068045386287,0.24754453696439563,6.7592527870880215,6.754767251339486,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,61.01418850703535,60.559041357406514,0.10215232914192007,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,59.33890025020323,5.471084959735771,-0.373583054171964,0.3722114718936162,8.347329727624583,8.34734023054174,-0.3260910673192584,0.32429036004551054,6.386256838086232,6.36976227656871,-0.25067068045386287,0.24754453696439563,6.386256838086232,6.36976227656871,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,59.33890025020323,59.13300152593087,0.08111985981480808,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,74.85276384446392,-0.7968209492600716,0.7903389594772907,310.85481125239176,310.85471083836495,-0.3260910673192584,0.32429036004551054,80.24019048407405,81.57618018771758,-0.25067068045386287,0.24754453696439563,80.24019048407405,81.57618018771758,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,476.1673309810013,438.81706156743195,2.8443444431061877,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,11.839676260399033,-0.5455231295468806,0.542750706525021,35.259811209172526,35.25983158399845,-0.3260910673192584,0.32429036004551054,13.505547541636053,13.577672303159117,-0.25067068045386287,0.24754453696439563,13.505547541636053,13.577672303159117,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,115.89644684235867,114.104741590892,0.31636533463987315,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
