process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cW_at_1,yield_cW_at_0p3,cW_95CL_LL,cW_95CL_UL,yield_cW_95CL_LL,yield_cW_95CL_UL,comb_cW_95CL_LL,comb_cW_95CL_UL,comb_yield_cW_95CL_LL,comb_yield_cW_95CL_UL,all_comb_cW_95CL_LL,all_comb_cW_95CL_UL,all_comb_yield_cW_95CL_LL,all_comb_yield_cW_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cW,sm_lin_quad_cW,quad_cW,lin_cW,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
ttV,3,2500.0,3000.0,4.144776146742515,1.0512916435193844,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,40.256837914455055,-0.25200000405311584,0.24699999392032623,28.27821615182616,27.4246543553525,-0.11900000274181366,0.11800000071525574,6.548866293924098,6.562214740468173,-0.09200000017881393,0.09000000357627869,6.548866293924098,6.562214740468173,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,441.715916760863,0.4980393703598879,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ttV,4,3000.0,3500.0,1.0332567159784958,0.4997567314156581,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,40.917324595550014,-0.2549999952316284,0.25,29.513363912207062,28.46035733752346,-0.11900000274181366,0.11800000071525574,6.5136555588374625,6.44859016126096,-0.09200000017881393,0.09000000357627869,6.5136555588374625,6.44859016126096,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,452.65677274357193,0.17812015156648714,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
sm,1,1100.0,2000.0,34.50592868333185,0.0,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,279.1587857982847,-0.27300000190734863,0.2680000066757202,227.12362291696405,230.29689500415466,-0.11900000274181366,0.11800000071525574,69.81983123843695,73.72649925585628,-0.09200000017881393,0.09000000357627869,69.81983123843695,73.72649925585628,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,2708.214725144463,2654.5703896351733,19.13840682595785,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
sm,2,2000.0,2500.0,1.475338671614794,0.0,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,73.04239782827393,-0.3050000071525574,0.2980000078678131,74.52821025074648,72.09432520498616,-0.11900000274181366,0.11800000071525574,12.48752009598159,12.654590566200941,-0.09200000017881393,0.09000000357627869,12.48752009598159,12.654590566200941,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,793.1762108329755,790.2057261511859,1.4951460101747773,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
sm,3,2500.0,3000.0,0.35299359486942017,0.0,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,40.256837914455055,-0.25200000405311584,0.24699999392032623,28.27821615182616,27.4246543553525,-0.11900000274181366,0.11800000071525574,6.548866293924098,6.562214740468173,-0.09200000017881393,0.09000000357627869,6.548866293924098,6.562214740468173,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,442.56694972609233,441.715916760863,0.4980393703598879,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
sm,4,3000.0,3500.0,0.12477900315859541,0.0,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,40.917324595550014,-0.2549999952316284,0.25,29.513363912207062,28.46035733752346,-0.11900000274181366,0.11800000071525574,6.5136555588374625,6.44859016126096,-0.09200000017881393,0.09000000357627869,6.5136555588374625,6.44859016126096,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,452.959671898297,452.65677274357193,0.17812015156648714,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
DY,1,1250.0,1500.0,8.320661306381226,0.7351518213830418,0.0,0.0,0.0,0.0,2.524089589589385,107.95208722637197,12.569846553432805,-0.6759999990463257,0.6510000228881836,47.69579054900729,47.80745844080299,-0.1469999998807907,0.14300000667572021,4.354877458198616,5.005177275873683,-0.09200000017881393,0.09000000357627869,4.354877458198616,5.005177275873683,382.1417333979535,11.369101877199862,0.0,0.0,0.0,0.0,2.524089589589385,107.95208722637197,102.7744872723398,2.65351036444279,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,11.369101877199862,0Lepton_3FJ,
DY,2,1500.0,1750.0,3.3459248691797256,0.476219655426643,0.0,0.0,0.0,0.0,1.1155598526547676,122.96963575873029,12.42904106109259,-0.4729999899864197,0.45899999141693115,27.22786695415617,27.197759054747124,-0.1469999998807907,0.14300000667572021,3.4704078916872714,3.809629989006341,-0.09200000017881393,0.09000000357627869,3.4704078916872714,3.809629989006341,126.22721328240954,6.2251877584937185,0.0,0.0,0.0,0.0,1.1155598526547676,122.96963575873029,120.20353125421349,1.6505446518620361,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,6.2251877584937185,0Lepton_3FJ,
DY,3,1750.0,2000.0,1.3090158626437187,0.2979331948577186,0.0,0.0,0.0,0.0,0.5322217069345606,110.91392971289152,10.659954613225512,-0.3720000088214874,0.36399999260902405,15.33729592486111,15.370537109493542,-0.1469999998807907,0.14300000667572021,2.7621958832661755,2.9022689576247194,-0.09200000017881393,0.09000000357627869,2.7621958832661755,2.9022689576247194,38.43842536679975,3.3468417166640694,0.0,0.0,0.0,0.0,0.5322217069345606,110.91392971289152,109.46085474045778,0.9208532654991791,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,3.3468417166640694,0Lepton_3FJ,
DY,4,2000.0,2250.0,0.7574682086706161,0.22251609053398394,0.0,0.0,0.0,0.0,0.3615255781015967,96.41070698862117,9.151090056898658,-0.3230000138282776,0.3160000145435333,10.086899842562199,10.101998003059736,-0.1469999998807907,0.14300000667572021,2.320520913821234,2.410334645191609,-0.09200000017881393,0.09000000357627869,2.320520913821234,2.410334645191609,15.03900728565123,2.1245039294522594,0.0,0.0,0.0,0.0,0.3615255781015967,96.41070698862117,95.35804735408958,0.691134056429997,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,2.1245039294522594,0Lepton_3FJ,
