process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHq3_at_1,yield_cHq3_at_0p3,cHq3_95CL_LL,cHq3_95CL_UL,yield_cHq3_95CL_LL,yield_cHq3_95CL_UL,comb_cHq3_95CL_LL,comb_cHq3_95CL_UL,comb_yield_cHq3_95CL_LL,comb_yield_cHq3_95CL_UL,all_comb_cHq3_95CL_LL,all_comb_cHq3_95CL_UL,all_comb_yield_cHq3_95CL_LL,all_comb_yield_cHq3_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHq3,sm_lin_quad_cHq3,quad_cHq3,lin_cHq3,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,141.8688340302465,-0.6023101790882018,0.5069154680975814,310.85439404281647,310.8548271657328,-0.22134355449265034,0.19818201698910504,59.73848194435362,87.16681492773185,-0.18124765201836934,0.1516572281932811,59.73848194435362,87.16681492773185,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,905.1106732377991,86.34316156127124,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,27.709885933255748,-0.38336109277851704,0.3430014850534358,35.25972183971915,35.25989367722695,-0.22134355449265034,0.19818201698910504,11.767767838298559,13.621617516318487,-0.18124765201836934,0.1516572281932811,11.767767838298559,13.621617516318487,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,256.9289897038285,10.369789810281294,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,145.38363622379362,14.214927144558802,-0.3311520957998496,0.30385871900515565,14.558753827658913,14.5587561167784,-0.22134355449265034,0.19818201698910504,6.41681251862658,6.661532714435742,-0.18124765201836934,0.1516572281932811,6.41681251862658,6.661532714435742,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,145.38363622379362,141.17742903295297,3.853212370353728,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,149.4081478496015,14.048687340178459,-0.24458601743451533,0.22876040144278106,8.347281869469224,8.347302864063026,-0.22134355449265034,0.19818201698910504,6.80988205531792,6.357622882441098,-0.18124765201836934,0.1516572281932811,6.80988205531792,6.357622882441098,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,149.4081478496015,146.95762961820134,2.3257393669426163,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,141.8688340302465,-0.6023101790882018,0.5069154680975814,310.85439404281647,310.8548271657328,-0.22134355449265034,0.19818201698910504,59.73848194435362,87.16681492773185,-0.18124765201836934,0.1516572281932811,59.73848194435362,87.16681492773185,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,905.1106732377991,86.34316156127124,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,27.709885933255748,-0.38336109277851704,0.3430014850534358,35.25972183971915,35.25989367722695,-0.22134355449265034,0.19818201698910504,11.767767838298559,13.621617516318487,-0.18124765201836934,0.1516572281932811,11.767767838298559,13.621617516318487,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,256.9289897038285,10.369789810281294,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,145.38363622379362,14.214927144558802,-0.3311520957998496,0.30385871900515565,14.558753827658913,14.5587561167784,-0.22134355449265034,0.19818201698910504,6.41681251862658,6.661532714435742,-0.18124765201836934,0.1516572281932811,6.41681251862658,6.661532714435742,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,145.38363622379362,141.17742903295297,3.853212370353728,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,149.4081478496015,14.048687340178459,-0.24458601743451533,0.22876040144278106,8.347281869469224,8.347302864063026,-0.22134355449265034,0.19818201698910504,6.80988205531792,6.357622882441098,-0.18124765201836934,0.1516572281932811,6.80988205531792,6.357622882441098,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,149.4081478496015,146.95762961820134,2.3257393669426163,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,141.8688340302465,-0.6023101790882018,0.5069154680975814,310.85439404281647,310.8548271657328,-0.22134355449265034,0.19818201698910504,59.73848194435362,87.16681492773185,-0.18124765201836934,0.1516572281932811,59.73848194435362,87.16681492773185,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,1025.9597597695335,905.1106732377991,86.34316156127124,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,27.709885933255748,-0.38336109277851704,0.3430014850534358,35.25972183971915,35.25989367722695,-0.22134355449265034,0.19818201698910504,11.767767838298559,13.621617516318487,-0.18124765201836934,0.1516572281932811,11.767767838298559,13.621617516318487,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,268.7741194309366,256.9289897038285,10.369789810281294,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
