process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHW_at_1,yield_cHW_at_0p3,cHW_95CL_LL,cHW_95CL_UL,yield_cHW_95CL_LL,yield_cHW_95CL_UL,comb_cHW_95CL_LL,comb_cHW_95CL_UL,comb_yield_cHW_95CL_LL,comb_yield_cHW_95CL_UL,all_comb_cHW_95CL_LL,all_comb_cHW_95CL_UL,all_comb_yield_cHW_95CL_LL,all_comb_yield_cHW_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHW,sm_lin_quad_cHW,quad_cHW,lin_cHW,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.453632454977241,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,36.65253555015155,-4.28000020980835,4.119999885559082,299.4348673227701,301.2806245114898,-1.8509999513626099,1.7760000228881836,81.29216900496313,86.73745882890324,-1.2029999494552612,1.128000020980835,81.29216900496313,86.73745882890324,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,15.077431168964962,2.632126872042825,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,1.7656734087026749,-3.438999891281128,3.321000099182129,31.19132486650373,30.471968808306222,-1.8509999513626099,1.7760000228881836,9.915826658015483,9.930659311669546,-1.2029999494552612,1.128000020980835,9.915826658015483,9.930659311669546,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,2.569848347991208,0.19682795256223984,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,0.47443399495066063,-2.940000057220459,2.8420000076293945,10.074108454012288,9.778686797280585,-1.8509999513626099,1.7760000228881836,4.164371565800401,4.074612288954855,-1.2029999494552612,1.128000020980835,4.164371565800401,4.074612288954855,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,1.1454638445914402,0.06116218022670272,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.2218806852410036,-2.9230000972747803,2.8550000190734863,8.405607924820801,8.19324706048893,-1.8509999513626099,1.7760000228881836,3.4252122064944017,3.2670419121542267,-1.2029999494552612,1.128000020980835,3.4252122064944017,3.2670419121542267,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.9794172490932831,0.029847098880042278,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,36.65253555015155,-4.28000020980835,4.119999885559082,299.4348673227701,301.2806245114898,-1.8509999513626099,1.7760000228881836,81.29216900496313,86.73745882890324,-1.2029999494552612,1.128000020980835,81.29216900496313,86.73745882890324,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,15.077431168964962,2.632126872042825,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,1.7656734087026749,-3.438999891281128,3.321000099182129,31.19132486650373,30.471968808306222,-1.8509999513626099,1.7760000228881836,9.915826658015483,9.930659311669546,-1.2029999494552612,1.128000020980835,9.915826658015483,9.930659311669546,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,2.569848347991208,0.19682795256223984,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,0.47443399495066063,-2.940000057220459,2.8420000076293945,10.074108454012288,9.778686797280585,-1.8509999513626099,1.7760000228881836,4.164371565800401,4.074612288954855,-1.2029999494552612,1.128000020980835,4.164371565800401,4.074612288954855,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,1.1454638445914402,0.06116218022670272,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.2218806852410036,-2.9230000972747803,2.8550000190734863,8.405607924820801,8.19324706048893,-1.8509999513626099,1.7760000228881836,3.4252122064944017,3.2670419121542267,-1.2029999494552612,1.128000020980835,3.4252122064944017,3.2670419121542267,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.9794172490932831,0.029847098880042278,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075774,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,36.65253555015155,-4.28000020980835,4.119999885559082,299.4348673227701,301.2806245114898,-1.8509999513626099,1.7760000228881836,81.29216900496313,86.73745882890324,-1.2029999494552612,1.128000020980835,81.29216900496313,86.73745882890324,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,52.21548672433964,15.077431168964962,2.632126872042825,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,1.7656734087026749,-3.438999891281128,3.321000099182129,31.19132486650373,30.471968808306222,-1.8509999513626099,1.7760000228881836,9.915826658015483,9.930659311669546,-1.2029999494552612,1.128000020980835,9.915826658015483,9.930659311669546,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,4.242014972168242,2.569848347991208,0.19682795256223984,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369982,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,0.47443399495066063,-2.940000057220459,2.8420000076293945,10.074108454012288,9.778686797280585,-1.8509999513626099,1.7760000228881836,4.164371565800401,4.074612288954855,-1.2029999494552612,1.128000020980835,4.164371565800401,4.074612288954855,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,1.5596196196875631,1.1454638445914402,0.06116218022670272,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
TTbar,4,3000.0,3500.0,1.3927788622677326,0.3782020039470605,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.2218806852410036,-2.9230000972747803,2.8550000190734863,8.405607924820801,8.19324706048893,-1.8509999513626099,1.7760000228881836,3.4252122064944017,3.2670419121542267,-1.2029999494552612,1.128000020980835,3.4252122064944017,3.2670419121542267,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,1.1340433511319208,0.9794172490932831,0.029847098880042278,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
