process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHB_at_1,yield_cHB_at_0p3,cHB_95CL_LL,cHB_95CL_UL,yield_cHB_95CL_LL,yield_cHB_95CL_UL,comb_cHB_95CL_LL,comb_cHB_95CL_UL,comb_yield_cHB_95CL_LL,comb_yield_cHB_95CL_UL,all_comb_cHB_95CL_LL,all_comb_cHB_95CL_UL,all_comb_yield_cHB_95CL_LL,all_comb_yield_cHB_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHB,sm_lin_quad_cHB,quad_cHB,lin_cHB,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,34.54885040789867,-24.093746094514618,24.093080943567937,310.7320261411387,310.7326899589466,-13.355078231614373,13.351796852979197,119.37292822609359,119.34004801126379,-8.13158564579556,8.236069227645446,119.37292822609359,119.34004801126379,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,0.4758483485116426,0.0003302868981123197,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,1.4831962598361332,-19.925096742995724,19.916848883804626,35.243690194916894,35.24205726295318,-13.355078231614373,13.351796852979197,16.64299780585444,16.653189478984636,-8.13158564579556,8.236069227645446,16.64299780585444,16.653189478984636,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,0.08508995114026563,0.0006608246890531522,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,0.3945439580924854,0.35674732105658385,-18.48799320039302,18.48649403858804,14.532296837249346,14.532299852722264,-13.355078231614373,13.351796852979197,7.751681329576901,7.749708839220851,-8.13158564579556,8.236069227645446,7.751681329576901,7.749708839220851,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.3945439580924854,0.04148686053334627,6.227707222344891e-05,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,0.15234965718931368,0.1272776978291641,-17.28380959674316,17.280867354546945,8.334726476715145,8.33480518769613,-13.355078231614373,13.351796852979197,5.026312041411507,5.026123895434958,-8.13158564579556,8.236069227645446,5.026312041411507,5.026123895434958,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.15234965718931368,0.02748764022816941,8.31525035934616e-05,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,34.54885040789867,-24.093746094514618,24.093080943567937,310.7320261411387,310.7326899589466,-13.355078231614373,13.351796852979197,119.37292822609359,119.34004801126379,-8.13158564579556,8.236069227645446,119.37292822609359,119.34004801126379,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,0.4758483485116426,0.0003302868981123197,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,1.4831962598361332,-19.925096742995724,19.916848883804626,35.243690194916894,35.24205726295318,-13.355078231614373,13.351796852979197,16.64299780585444,16.653189478984636,-8.13158564579556,8.236069227645446,16.64299780585444,16.653189478984636,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,0.08508995114026563,0.0006608246890531522,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,0.3945439580924854,0.35674732105658385,-18.48799320039302,18.48649403858804,14.532296837249346,14.532299852722264,-13.355078231614373,13.351796852979197,7.751681329576901,7.749708839220851,-8.13158564579556,8.236069227645446,7.751681329576901,7.749708839220851,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.3945439580924854,0.04148686053334627,6.227707222344891e-05,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,0.15234965718931368,0.1272776978291641,-17.28380959674316,17.280867354546945,8.334726476715145,8.33480518769613,-13.355078231614373,13.351796852979197,5.026312041411507,5.026123895434958,-8.13158564579556,8.236069227645446,5.026312041411507,5.026123895434958,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.15234965718931368,0.02748764022816941,8.31525035934616e-05,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,34.54885040789867,-24.093746094514618,24.093080943567937,310.7320261411387,310.7326899589466,-13.355078231614373,13.351796852979197,119.37292822609359,119.34004801126379,-8.13158564579556,8.236069227645446,119.37292822609359,119.34004801126379,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,34.98210360587294,0.4758483485116426,0.0003302868981123197,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,1.4831962598361332,-19.925096742995724,19.916848883804626,35.243690194916894,35.24205726295318,-13.355078231614373,13.351796852979197,16.64299780585444,16.653189478984636,-8.13158564579556,8.236069227645446,16.64299780585444,16.653189478984636,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5610906926561121,0.08508995114026563,0.0006608246890531522,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
