process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cT0_at_1,yield_cT0_at_0p3,cT0_95CL_LL,cT0_95CL_UL,yield_cT0_95CL_LL,yield_cT0_95CL_UL,comb_cT0_95CL_LL,comb_cT0_95CL_UL,comb_yield_cT0_95CL_LL,comb_yield_cT0_95CL_UL,all_comb_cT0_95CL_LL,all_comb_cT0_95CL_UL,all_comb_yield_cT0_95CL_LL,all_comb_yield_cT0_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cT0,sm_lin_quad_cT0,quad_cT0,lin_cT0,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
WZ,4,3000.0,3500.0,0.2902390658855438,0.20523001165291718,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ZZ,1,1100.0,2000.0,41.649358920753,4.294930448995165,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ZZ,2,2000.0,2500.0,0.8726599365472794,0.7977463253252466,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ZZ,3,2500.0,3000.0,0.24201802164316177,0.3619627147580751,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ZZ,4,3000.0,3500.0,0.6363779306411743,0.32309480335745283,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ttV,1,1100.0,2000.0,647.7339086846914,12.817594324412774,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ttV,2,2000.0,2500.0,22.16453070472926,2.464975181554063,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,5.6615210367616715,-0.9005503246651319,0.883589386056669,35.41652059083037,35.414390225839185,-0.29626388108340246,0.293157807068117,5.1381520529847196,5.484248712063608,-0.1612602040586097,0.15638252435670458,5.1381520529847196,5.484248712063608,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,44.809823195173145,42.46696948882293,0.7190856051180048,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ttV,3,2500.0,3000.0,4.144776146742515,1.0512916435193844,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,3.5670463714541096,-0.6419684675222568,0.6349584474887537,14.563508156603984,14.563506378304842,-0.29626388108340246,0.293157807068117,3.343732882404336,3.423928583427708,-0.1612602040586097,0.15638252435670458,3.343732882404336,3.423928583427708,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,35.453231360218744,34.85183245386628,0.2443106510661719,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ttV,4,3000.0,3500.0,1.0332567159784958,0.4997567314156581,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,8.414304939970053,-0.3017349080287464,0.29911855129757864,8.365938804878038,8.365959361288807,-0.29626388108340246,0.293157807068117,8.069032897507695,8.04274276361395,-0.1612602040586097,0.15638252435670458,8.069032897507695,8.04274276361395,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,91.52730042135799,91.14948991860436,0.23851379351138782,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
sm,1,1100.0,2000.0,34.239728954605575,0.0,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,42.20408940782643,-1.944800005905371,1.8922076990939671,310.0327377776303,310.43065765781535,-0.29626388108340246,0.293157807068117,39.62328279108233,41.87200708376172,-0.1612602040586097,0.15638252435670458,39.62328279108233,41.87200708376172,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,113.28707973554195,74.99926086219075,4.0480899187456245,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
