process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cM0_at_1,yield_cM0_at_0p3,cM0_95CL_LL,cM0_95CL_UL,yield_cM0_95CL_LL,yield_cM0_95CL_UL,comb_cM0_95CL_LL,comb_cM0_95CL_UL,comb_yield_cM0_95CL_LL,comb_yield_cM0_95CL_UL,all_comb_cM0_95CL_LL,all_comb_cM0_95CL_UL,all_comb_yield_cM0_95CL_LL,all_comb_yield_cM0_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cM0,sm_lin_quad_cM0,quad_cM0,lin_cM0,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,34.226746917627466,-10.347786468180148,10.66710231723267,308.87810326552193,308.9788682138277,-1.5368276203831321,1.5554631816474633,41.33111931464815,39.03211880698941,-0.8754953818939294,0.8970737266429105,41.33111931464815,39.03211880698941,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,2.4885464665507513,-0.7898373965589087,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.712401888649419,-4.7628626589004925,4.8603988232757915,35.40758359623119,35.407343893135355,-1.5368276203831321,1.5554631816474633,5.289372803802388,4.933231949981325,-0.8754953818939294,0.8970737266429105,5.289372803802388,4.933231949981325,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.459376020722863,-0.14236684815948597,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35708825528629284,1.5207274951169822,0.44903206106479143,-3.3807797966342377,3.430275418192205,14.558687680527346,14.5568705108364,-1.5368276203831321,1.5554631816474633,3.3427478402367634,3.225069548580139,-0.8754953818939294,0.8970737266429105,3.3427478402367634,3.225069548580139,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,1.5207274951169822,1.22451412462242,-0.060874884791730643,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.13929670924224488,3.4086463677563126,0.42266521330478024,-1.5660805245067977,1.581677512527859,8.36580224804839,8.365876323354072,-1.5368276203831321,1.5554631816474633,8.06283214449843,8.094110716544334,-0.8754953818939294,0.8970737266429105,8.06283214449843,8.094110716544334,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,3.4086463677563126,3.321125683293738,-0.05177602477967022,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,34.226746917627466,-10.347786468180148,10.66710231723267,308.87810326552193,308.9788682138277,-1.5368276203831321,1.5554631816474633,41.33111931464815,39.03211880698941,-0.8754953818939294,0.8970737266429105,41.33111931464815,39.03211880698941,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,2.4885464665507513,-0.7898373965589087,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.712401888649419,-4.7628626589004925,4.8603988232757915,35.40758359623119,35.407343893135355,-1.5368276203831321,1.5554631816474633,5.289372803802388,4.933231949981325,-0.8754953818939294,0.8970737266429105,5.289372803802388,4.933231949981325,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.459376020722863,-0.14236684815948597,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35708825528629284,1.5207274951169822,0.44903206106479143,-3.3807797966342377,3.430275418192205,14.558687680527346,14.5568705108364,-1.5368276203831321,1.5554631816474633,3.3427478402367634,3.225069548580139,-0.8754953818939294,0.8970737266429105,3.3427478402367634,3.225069548580139,36.40899242328101,2.8784170650494194,0.0,0.0,0.0,0.0,0.35708825528629284,1.5207274951169822,1.22451412462242,-0.060874884791730643,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.13929670924224488,3.4086463677563126,0.42266521330478024,-1.5660805245067977,1.581677512527859,8.36580224804839,8.365876323354072,-1.5368276203831321,1.5554631816474633,8.06283214449843,8.094110716544334,-0.8754953818939294,0.8970737266429105,8.06283214449843,8.094110716544334,10.670563412820165,1.532332711454587,0.0,0.0,0.0,0.0,0.13929670924224488,3.4086463677563126,3.321125683293738,-0.05177602477967022,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,34.226746917627466,-10.347786468180148,10.66710231723267,308.87810326552193,308.9788682138277,-1.5368276203831321,1.5554631816474633,41.33111931464815,39.03211880698941,-0.8754953818939294,0.8970737266429105,41.33111931464815,39.03211880698941,15944.0555032107,61.51704064880988,0.0,0.0,0.0,0.0,34.239728954605575,35.93843802459742,2.4885464665507513,-0.7898373965589087,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.712401888649419,-4.7628626589004925,4.8603988232757915,35.40758359623119,35.407343893135355,-1.5368276203831321,1.5554631816474633,5.289372803802388,4.933231949981325,-0.8754953818939294,0.8970737266429105,5.289372803802388,4.933231949981325,223.2300784357421,7.474540523752163,0.0,0.0,0.0,0.0,1.6237681012322072,2.940777273795584,1.459376020722863,-0.14236684815948597,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
