process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHWB_at_1,yield_cHWB_at_0p3,cHWB_95CL_LL,cHWB_95CL_UL,yield_cHWB_95CL_LL,yield_cHWB_95CL_UL,comb_cHWB_95CL_LL,comb_cHWB_95CL_UL,comb_yield_cHWB_95CL_LL,comb_yield_cHWB_95CL_UL,all_comb_cHWB_95CL_LL,all_comb_cHWB_95CL_UL,all_comb_yield_cHWB_95CL_LL,all_comb_yield_cHWB_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHWB,sm_lin_quad_cHWB,quad_cHWB,lin_cHWB,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,35.35592236462311,-10.715760440557908,9.940769313294012,309.33345933755413,310.44935342168634,-6.198322558716152,5.966556862404071,121.08140897079298,138.82372894464945,-3.907868204182559,3.7513940249362405,121.08140897079298,138.82372894464945,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,2.5854197345608334,2.0576987268314966,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,1.5450893957882816,-9.220680877016406,8.973022594424474,35.05636053179243,35.23156221172184,-6.198322558716152,5.966556862404071,16.42557850061428,16.62139965881557,-3.907868204182559,3.7513940249362405,16.42557850061428,16.62139965881557,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,0.4069480418799256,0.1104138506409833,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,0.5678444258741406,0.3784404968467793,-8.801031523220159,8.633539868563288,14.485441177246397,14.450198066209543,-6.198322558716152,5.966556862404071,7.309355258387903,7.13952289775903,-3.907868204182559,3.7513940249362405,7.309355258387903,7.13952289775903,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.5678444258741406,0.18575812026811356,0.029091485119111415,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,0.27220316802953015,0.1403510497600137,-7.802964405228993,7.722349624862031,8.34727419759529,8.34682861539106,-6.198322558716152,5.966556862404071,5.299185482280092,5.047935969351781,-3.907868204182559,3.7513940249362405,5.299185482280092,5.047935969351781,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.27220316802953015,0.1364528846149091,0.010971418957070253,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,35.35592236462311,-10.715760440557908,9.940769313294012,309.33345933755413,310.44935342168634,-6.198322558716152,5.966556862404071,121.08140897079298,138.82372894464945,-3.907868204182559,3.7513940249362405,121.08140897079298,138.82372894464945,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,2.5854197345608334,2.0576987268314966,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,1.5450893957882816,-9.220680877016406,8.973022594424474,35.05636053179243,35.23156221172184,-6.198322558716152,5.966556862404071,16.42557850061428,16.62139965881557,-3.907868204182559,3.7513940249362405,16.42557850061428,16.62139965881557,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,0.4069480418799256,0.1104138506409833,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,0.5678444258741406,0.3784404968467793,-8.801031523220159,8.633539868563288,14.485441177246397,14.450198066209543,-6.198322558716152,5.966556862404071,7.309355258387903,7.13952289775903,-3.907868204182559,3.7513940249362405,7.309355258387903,7.13952289775903,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.5678444258741406,0.18575812026811356,0.029091485119111415,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,0.27220316802953015,0.1403510497600137,-7.802964405228993,7.722349624862031,8.34727419759529,8.34682861539106,-6.198322558716152,5.966556862404071,5.299185482280092,5.047935969351781,-3.907868204182559,3.7513940249362405,5.299185482280092,5.047935969351781,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.27220316802953015,0.1364528846149091,0.010971418957070253,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,35.35592236462311,-10.715760440557908,9.940769313294012,309.33345933755413,310.44935342168634,-6.198322558716152,5.966556862404071,121.08140897079298,138.82372894464945,-3.907868204182559,3.7513940249362405,121.08140897079298,138.82372894464945,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,39.14904343185552,2.5854197345608334,2.0576987268314966,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,1.5450893957882816,-9.220680877016406,8.973022594424474,35.05636053179243,35.23156221172184,-6.198322558716152,5.966556862404071,16.42557850061428,16.62139965881557,-3.907868204182559,3.7513940249362405,16.42557850061428,16.62139965881557,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.9927018093477022,0.4069480418799256,0.1104138506409833,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
