process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHd_at_1,yield_cHd_at_0p3,cHd_95CL_LL,cHd_95CL_UL,yield_cHd_95CL_LL,yield_cHd_95CL_UL,comb_cHd_95CL_LL,comb_cHd_95CL_UL,comb_yield_cHd_95CL_LL,comb_yield_cHd_95CL_UL,all_comb_cHd_95CL_LL,all_comb_cHd_95CL_UL,all_comb_yield_cHd_95CL_LL,all_comb_yield_cHd_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHd,sm_lin_quad_cHd,quad_cHd,lin_cHd,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,42.28332479336861,-1.7384665698778883,1.7519713177284273,310.2121700775242,310.1839561864546,-0.6894839042483975,0.6933157627266278,78.38512924430981,77.1632237131239,-0.5606814602911296,0.5648775492057468,78.38512924430981,77.1632237131239,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,90.51720430642891,-1.2304952155772853,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,3.4478087150735726,-1.224289746700035,1.230998130912479,35.258347926109074,35.259324373715145,-0.6894839042483975,0.6933157627266278,12.235165776961098,12.146551508593108,-0.5606814602911296,0.5648775492057468,12.235165776961098,12.146551508593108,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,22.41625040935278,-0.1499791286499026,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,1.4922499850614173,-1.0489599901049722,1.0535164929259764,14.558492821207278,14.558049362757998,-0.6894839042483975,0.6933157627266278,6.504318675900183,6.4911464867782565,-0.5606814602911296,0.5648775492057468,6.504318675900183,6.4911464867782565,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,12.854329756671056,-0.058781711752977306,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,13.736028623456464,1.3421199161497672,-0.7748617111161443,0.7775382162249459,8.347357999563101,8.347354508093293,-0.6894839042483975,0.6933157627266278,6.637957877850251,6.659758765455351,-0.5606814602911296,0.5648775492057468,6.637957877850251,6.659758765455351,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,13.736028623456464,13.647780361940276,-0.03653060294136244,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,42.28332479336861,-1.7384665698778883,1.7519713177284273,310.2121700775242,310.1839561864546,-0.6894839042483975,0.6933157627266278,78.38512924430981,77.1632237131239,-0.5606814602911296,0.5648775492057468,78.38512924430981,77.1632237131239,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,90.51720430642891,-1.2304952155772853,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,3.4478087150735726,-1.224289746700035,1.230998130912479,35.258347926109074,35.259324373715145,-0.6894839042483975,0.6933157627266278,12.235165776961098,12.146551508593108,-0.5606814602911296,0.5648775492057468,12.235165776961098,12.146551508593108,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,22.41625040935278,-0.1499791286499026,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,1.4922499850614173,-1.0489599901049722,1.0535164929259764,14.558492821207278,14.558049362757998,-0.6894839042483975,0.6933157627266278,6.504318675900183,6.4911464867782565,-0.5606814602911296,0.5648775492057468,6.504318675900183,6.4911464867782565,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,12.854329756671056,-0.058781711752977306,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,13.736028623456464,1.3421199161497672,-0.7748617111161443,0.7775382162249459,8.347357999563101,8.347354508093293,-0.6894839042483975,0.6933157627266278,6.637957877850251,6.659758765455351,-0.5606814602911296,0.5648775492057468,6.637957877850251,6.659758765455351,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,13.736028623456464,13.647780361940276,-0.03653060294136244,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,42.28332479336861,-1.7384665698778883,1.7519713177284273,310.2121700775242,310.1839561864546,-0.6894839042483975,0.6933157627266278,78.38512924430981,77.1632237131239,-0.5606814602911296,0.5648775492057468,78.38512924430981,77.1632237131239,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,123.79263406131481,90.51720430642891,-1.2304952155772853,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,3.4478087150735726,-1.224289746700035,1.230998130912479,35.258347926109074,35.259324373715145,-0.6894839042483975,0.6933157627266278,12.235165776961098,12.146551508593108,-0.5606814602911296,0.5648775492057468,12.235165776961098,12.146551508593108,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,23.74161119752967,22.41625040935278,-0.1499791286499026,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369981,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,1.4922499850614173,-1.0489599901049722,1.0535164929259764,14.558492821207278,14.558049362757998,-0.6894839042483975,0.6933157627266278,6.504318675900183,6.4911464867782565,-0.5606814602911296,0.5648775492057468,6.504318675900183,6.4911464867782565,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,13.148542865404995,12.854329756671056,-0.058781711752977306,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
