process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHl3_at_1,yield_cHl3_at_0p3,cHl3_95CL_LL,cHl3_95CL_UL,yield_cHl3_95CL_LL,yield_cHl3_95CL_UL,comb_cHl3_95CL_LL,comb_cHl3_95CL_UL,comb_yield_cHl3_95CL_LL,comb_yield_cHl3_95CL_UL,all_comb_cHl3_95CL_LL,all_comb_cHl3_95CL_UL,all_comb_yield_cHl3_95CL_LL,all_comb_yield_cHl3_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHl3,sm_lin_quad_cHl3,quad_cHl3,lin_cHl3,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
WZ,2,2000.0,2500.0,3.415310353040695,0.6665928769264714,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WZ,3,2500.0,3000.0,1.3098052777349949,0.4650351233339387,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WZ,4,3000.0,3500.0,0.2902390658855438,0.20523001165291718,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ZZ,1,1100.0,2000.0,41.649358920753,4.294930448995165,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ZZ,2,2000.0,2500.0,0.8726599365472794,0.7977463253252466,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ZZ,3,2500.0,3000.0,0.24201802164316177,0.3619627147580751,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
ZZ,4,3000.0,3500.0,0.6363779306411743,0.32309480335745283,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.11153857312590858,-23.0,34.0,3.351006782000052,3.3517778737313324,-9.100000381469727,20.100000381469727,0.879344223845701,0.8797392392692396,-2.680000066757202,13.680000305175781,0.879344223845701,0.8797392392692396,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.08353244257834766,0.004126008850535794,-0.04537256943078355,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
ttV,1,1100.0,2000.0,647.7339086846914,12.817594324412774,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,30.843313910031306,-11.0,22.0,310.67139088553745,310.79383206283615,-9.100000381469727,20.100000381469727,243.2361852882201,243.34452718126676,-2.680000066757202,13.680000305175781,243.2361852882201,243.34452718126676,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,23.096156545675402,1.1413482476362473,-12.551120385292698,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
ttV,2,2000.0,2500.0,22.16453070472926,2.464975181554063,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,1.3187723287128539,-16.0,27.0,22.549792112411545,22.556571543479244,-9.100000381469727,20.100000381469727,10.397954692145557,10.402558398944374,-2.680000066757202,13.680000305175781,10.397954692145557,10.402558398944374,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,0.9876033693811491,0.04878929634212659,-0.5365245985757715,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
ttV,3,2500.0,3000.0,4.144776146742515,1.0512916435193844,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.31552024523453853,-18.0,29.0,6.4479621429463965,6.449750696945465,-9.100000381469727,20.100000381469727,2.4885784390104653,2.4896896257793446,-2.680000066757202,13.680000305175781,2.4885784390104653,2.4896896257793446,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.23625667744346035,0.011677497176636551,-0.12841441460259637,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
