process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cll1_at_1,yield_cll1_at_0p3,cll1_95CL_LL,cll1_95CL_UL,yield_cll1_95CL_LL,yield_cll1_95CL_UL,comb_cll1_95CL_LL,comb_cll1_95CL_UL,comb_yield_cll1_95CL_LL,comb_yield_cll1_95CL_UL,all_comb_cll1_95CL_LL,all_comb_cll1_95CL_UL,all_comb_yield_cll1_95CL_LL,all_comb_yield_cll1_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cll1,sm_lin_quad_cll1,quad_cll1,lin_cll1,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.453632454977241,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.13167772886497978,-68.0,46.0,3.3517777460218556,3.3510080275500904,-40.0,18.0,0.8677308320639721,0.8673392209116704,-27.299999237060547,5.300000190734863,0.8677308320639721,0.8673392209116704,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.0010315024336786346,0.022686301624510963,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.13167772886497978,-68.0,46.0,3.3517777460218556,3.3510080275500904,-40.0,18.0,0.8677308320639721,0.8673392209116704,-27.299999237060547,5.300000190734863,0.8677308320639721,0.8673392209116704,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.0010315024336786346,0.022686301624510963,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075774,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
TTbar,3,2500.0,3000.0,5.822826702147722,0.7932122228369982,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
TTbar,4,3000.0,3500.0,1.3927788622677326,0.3782020039470605,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.13167772886497978,-68.0,46.0,3.3517777460218556,3.3510080275500904,-40.0,18.0,0.8677308320639721,0.8673392209116704,-27.299999237060547,5.300000190734863,0.8677308320639721,0.8673392209116704,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.0010315024336786346,0.022686301624510963,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WJets,1,1100.0,2000.0,1377.3680602400855,11.487063777598474,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WJets,2,2000.0,2500.0,27.586104618152604,1.6326704450275293,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WJets,3,2500.0,3000.0,4.344207974485471,0.6476899967839551,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WJets,4,3000.0,3500.0,1.0306387416349025,0.3118642947060499,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.13167772886497978,-68.0,46.0,3.3517777460218556,3.3510080275500904,-40.0,18.0,0.8677308320639721,0.8673392209116704,-27.299999237060547,5.300000190734863,0.8677308320639721,0.8673392209116704,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.0010315024336786346,0.022686301624510963,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WW,1,1100.0,2000.0,405.1505524814129,9.662213621472555,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WW,2,2000.0,2500.0,12.557186089456081,1.685212365271094,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WW,3,2500.0,3000.0,3.1176525950431824,0.8828864357622053,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
WW,4,3000.0,3500.0,0.9266377240419388,0.4931862560486241,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.13167772886497978,-68.0,46.0,3.3517777460218556,3.3510080275500904,-40.0,18.0,0.8677308320639721,0.8673392209116704,-27.299999237060547,5.300000190734863,0.8677308320639721,0.8673392209116704,10.656045706736515,1.532332711454587,0.0,0.0,0.0,0.0,0.12477900315859541,0.14849680721678502,0.0010315024336786346,0.022686301624510963,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
WZ,1,1100.0,2000.0,102.17559579014778,3.878140427000984,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,36.41427470399025,-44.0,22.0,310.7939685959657,310.67116509504126,-40.0,18.0,240.02296151101262,239.9150432829275,-27.299999237060547,5.300000190734863,240.02296151101262,239.9150432829275,15944.321702939425,61.51704064880988,0.0,0.0,0.0,0.0,34.50592868333185,41.06681795292157,0.2853369534215057,6.275552316168209,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
WZ,2,2000.0,2500.0,3.415310353040695,0.6665928769264714,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,1.5569148033748965,-54.0,32.0,22.55662003940497,22.549755303553503,-40.0,18.0,10.260602802117296,10.255973096543052,-27.299999237060547,5.300000190734863,10.260602802117296,10.255973096543052,223.08164900612468,7.474540523752163,0.0,0.0,0.0,0.0,1.475338671614794,1.7557972356221834,0.012197321152925655,0.26826124285446373,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
WZ,3,2500.0,3000.0,1.3098052777349949,0.4650351233339387,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.3725184421042283,-59.0,37.0,6.7271191831321,6.725275419732794,-40.0,18.0,2.4557107798000457,2.454596839412965,-27.299999237060547,5.300000190734863,2.4557107798000457,2.454596839412965,36.40489776286414,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299359486942017,0.42011998046478993,0.002919373541917937,0.0642070120534518,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
