process,bin,bin_low,bin_high,yield,MCstat,syst_quadrature_Up,syst_quadrature_Down,syst_quadrature_Increase,syst_quadrature_Decrease,yield_sm,yield_cHDD_at_1,yield_cHDD_at_0p3,cHDD_95CL_LL,cHDD_95CL_UL,yield_cHDD_95CL_LL,yield_cHDD_95CL_UL,comb_cHDD_95CL_LL,comb_cHDD_95CL_UL,comb_yield_cHDD_95CL_LL,comb_yield_cHDD_95CL_UL,all_comb_cHDD_95CL_LL,all_comb_cHDD_95CL_UL,all_comb_yield_cHDD_95CL_LL,all_comb_yield_cHDD_95CL_UL,total_bkg,total_MCstat,total_syst_Up,total_syst_Down,total_syst_Increase,total_syst_Decrease,sm_cHDD,sm_lin_quad_cHDD,quad_cHDD,lin_cHDD,total_unc,total_unc_Down,total_unc_Up,total_unc_Decrease,total_unc_Increase,channel,subchannel
DY,1,1100.0,2000.0,443.1930925399065,5.4536324549772415,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,34.75520570252786,-279.7939027897171,107.75061920177913,1083.0174771863124,313.29012745600784,-227.2279181762728,99.42166020217081,690.7869084081641,278.2048628546818,-100.04743260473354,61.9523747018094,690.7869084081641,278.2048628546818,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,0.016345868978209138,0.8260320128554355,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
DY,2,2000.0,2500.0,8.933295916765928,0.7700998897727057,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,1.4871836875732871,-1003.0450616081857,280.797510261839,818.6990301850569,79.61779027776879,-227.2279181762728,99.42166020217081,36.5211874213765,13.790586494497028,-100.04743260473354,61.9523747018094,36.5211874213765,13.790586494497028,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,0.0008513740854586894,0.03922382359600807,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
DY,3,2500.0,3000.0,2.14450765773654,0.37965750579301,0.0,0.0,0.0,0.0,0.35299482048691566,0.36316804463450847,0.35599852981873675,-1990.8506059518736,559.1126689991818,891.3645836052988,77.74944238122055,-227.2279181762728,99.42166020217081,9.958704291317174,3.6130788438220622,-100.04743260473354,61.9523747018094,9.958704291317174,3.6130788438220622,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.36316804463450847,0.00022979958312731725,0.009943424564465508,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
DY,4,3000.0,3500.0,0.5416109599173069,0.183404084825355,0.0,0.0,0.0,0.0,0.1247788644575508,0.12813897006161523,0.12577014494374872,-2429.6060534823314,938.9338307598854,463.0218144351071,73.52765109056894,-227.2279181762728,99.42166020217081,3.497996991884992,1.2393915941369171,-100.04743260473354,61.9523747018094,3.497996991884992,1.2393915941369171,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.12813897006161523,7.97675953400416e-05,0.00328033800872439,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
QCD,1,1100.0,2000.0,10486.996347805885,55.32642892419974,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,34.75520570252786,-279.7939027897171,107.75061920177913,1083.0174771863124,313.29012745600784,-227.2279181762728,99.42166020217081,690.7869084081641,278.2048628546818,-100.04743260473354,61.9523747018094,690.7869084081641,278.2048628546818,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,0.016345868978209138,0.8260320128554355,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
QCD,2,2000.0,2500.0,109.90889079844273,6.189261349353989,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,1.4871836875732871,-1003.0450616081857,280.797510261839,818.6990301850569,79.61779027776879,-227.2279181762728,99.42166020217081,36.5211874213765,13.790586494497028,-100.04743260473354,61.9523747018094,36.5211874213765,13.790586494497028,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,0.0008513740854586894,0.03922382359600807,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
QCD,3,2500.0,3000.0,14.926109792461137,2.2046495787936244,0.0,0.0,0.0,0.0,0.35299482048691566,0.36316804463450847,0.35599852981873675,-1990.8506059518736,559.1126689991818,891.3645836052988,77.74944238122055,-227.2279181762728,99.42166020217081,9.958704291317174,3.6130788438220622,-100.04743260473354,61.9523747018094,9.958704291317174,3.6130788438220622,36.404898988481634,2.8784170650494194,0.0,0.0,0.0,0.0,0.35299482048691566,0.36316804463450847,0.00022979958312731725,0.009943424564465508,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,2.8784170650494194,0Lepton_2FJ,
QCD,4,3000.0,3500.0,4.679726703210824,1.197752604994411,0.0,0.0,0.0,0.0,0.1247788644575508,0.12813897006161523,0.12577014494374872,-2429.6060534823314,938.9338307598854,463.0218144351071,73.52765109056894,-227.2279181762728,99.42166020217081,3.497996991884992,1.2393915941369171,-100.04743260473354,61.9523747018094,3.497996991884992,1.2393915941369171,10.65604556803547,1.532332711454587,0.0,0.0,0.0,0.0,0.1247788644575508,0.12813897006161523,7.97675953400416e-05,0.00328033800872439,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,1.532332711454587,0Lepton_2FJ,
TTbar,1,1100.0,2000.0,2405.548857793212,16.446954564075778,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,34.75520570252786,-279.7939027897171,107.75061920177913,1083.0174771863124,313.29012745600784,-227.2279181762728,99.42166020217081,690.7869084081641,278.2048628546818,-100.04743260473354,61.9523747018094,690.7869084081641,278.2048628546818,15944.321699226557,61.51704064880988,0.0,0.0,0.0,0.0,34.50592497046319,35.34830285229683,0.016345868978209138,0.8260320128554355,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,61.51704064880988,0Lepton_2FJ,
TTbar,2,2000.0,2500.0,36.168331917375326,2.0751734249051683,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,1.4871836875732871,-1003.0450616081857,280.797510261839,818.6990301850569,79.61779027776879,-227.2279181762728,99.42166020217081,36.5211874213765,13.790586494497028,-100.04743260473354,61.9523747018094,36.5211874213765,13.790586494497028,223.08165025133667,7.474540523752163,0.0,0.0,0.0,0.0,1.4753399168267933,1.5154151145082602,0.0008513740854586894,0.03922382359600807,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,7.474540523752163,0Lepton_2FJ,
